,Name,Lowest price,Price per slot,Trader price,Last update,Hash EN,Hash RU
44,"23x75mm ""Barricade""",270,270,143,Price updated 42 minutes ago,7bf4c6790e4a2dbe00d4894c99efbfb4,None
45,"23x75mm ""Star""",30000,30000,549,Price updated an hour ago,5383f32c75e64d482fbd99d0764d4744,None
46,23x75mm Shrapnel 10,799,799,44,Price updated 1 an hour ago,f55aa0f963974b789c5d03d2ecde526f,None
47,23x75mm Shrapnel-25,922,922,54,Price updated 32 minutes ago,13154a1f6b2a079828e96c8b143df0a0,None
48,30x29 mm VOG-30,0,0,549,Price updated 3 months ago,No hash,None
49,4.6x30mm AP SX,1000,1000,143,Price updated an hour ago,3ae79ec0b6ae14eafaf3d6831805ebc3,None
50,4.6x30mm Action SX,110,110,55,Price updated 1 an hour ago,854cf9a8b9d29a304f9355a356478967,None
51,4.6x30mm FMJ SX,800,800,69,Price updated 2 hours ago,f1830e84c73ba8702e3658ba7da470cd,None
52,4.6x30mm Subsonic SX,800,800,91,Price updated 2 hours ago,ec4dd328c8c6f31047ab423dd15cd80d,None
53,40x46 mm M381 (HE),65420,65420,3192,Price updated an hour ago,42457725ced802d045056509dc02a598,None
54,40x46 mm M386(HE),18500,18500,3836,Price updated 33 minutes ago,da52db111c087da9a5247fc39fa3c6a2,None
55,40x46 mm M406 (HE),7499,7499,4312,Price updated an hour ago,399ec8d38982140062465c977abcea1f,None
56,40x46 mm M433 (HEDP),17999,17999,5880,Price updated an hour ago,92bd889cf723ed07f7d3a1abd85b8719,None
57,40x46 mm M441(HE),65420,65420,4760,Price updated an hour ago,db8b2f5a881072df458ae05c8d8afd0b,None
58,40x46 mm M576(MP-APERS),4000,4000,1624,Price updated 18 minutes ago,747ed18f1f9b3b19b3db85b5196c63e9,None
59,"5.45x39 mm 7N39 ""Igolnik""",998,998,315,Price updated an hour ago,ff38609a4854975d38f47b61b120e5b0,None
60,5.45x39 mm BP,290,290,72,Price updated 2 hours ago,34ca639cef611b6a082e5f67b90e1a1d,None
61,5.45x39 mm BS,1000,1000,213,Price updated 2 hours ago,31de961a14009cf5f21d4bd0696e6a90,None
62,5.45x39 mm BT,299,299,134,Price updated 1 an hour ago,82df0db6060f86ba4293d2f251bf7397,None
63,5.45x39 mm FMJ,37,37,20,Price updated 3 hours ago,7e085c0dfd89b62742f8879da8f632e7,None
64,5.45x39 mm HP,70,70,38,Price updated 2 days ago,35dabe5af2f986c449ba8b7c28fc9e85,None
65,5.45x39 mm PP,100,100,60,Price updated an hour ago,9f85c1e5ea344d88c71e68bff9fba843,None
66,5.45x39 mm PRS,39,39,26,Price updated 5 days ago,a7f2fb85c5c1d3c7c61d5cfc513d349b,None
67,5.45x39 mm PS,30,30,41,Price updated an hour ago,d1a7d29dc855a1e0e8a64f2d3f405a4d,None
68,5.45x39 mm SP,50,50,34,Price updated 2 days ago,8fa056334e562a9fbe460bb0c44ba36f,None
69,5.45x39 mm T,20,20,22,Price updated 5 days ago,ce35ef4514b29b786aaeb26c55511d1f,None
70,5.45x39 mm US,25,25,44,Price updated 5 days ago,abe05ce5d7992793dc20599da500c24b,None
71,5.56x45 mm 55 FMJ,65,65,48,Price updated 2 days ago,abe05ce5d7992793dc20599da500c24b,None
72,5.56x45 mm 55 HP,80,80,32,Price updated 2 days ago,bf2552a488ee396043b710379123e6cc,None
73,5.56x45 mm M855,285,285,62,Price updated an hour ago,da6bd6c4c77956456ef522ba32809a55,None
74,5.56x45 mm M855A1,1000,1000,80,Price updated an hour ago,90c841ff7a364d50105df09049868e45,None
75,5.56x45 mm M856,500,500,72,Price updated 1 an hour ago,e4d3e7f3cc961cca129d460404b6c6fe,None
76,5.56x45 mm M856A1,620,620,102,Price updated an hour ago,eec34f50e6704a6604ffb88b375104c8,None
77,5.56x45 mm M995,1600,1600,193,Price updated an hour ago,cc139747b758a4607c65db1af977de72,None
78,5.56x45 mm Mk 255 Mod 0,76,76,76,Price updated 2 days ago,1367f0fba12173a4d6e1da8d259a05d7,None
79,5.56x45mm Warmage,110,110,87,Price updated an hour ago,d14d56dfed877fea97ab056882d0cc58,None
80,5.7x28 mm L191,1899,1899,63,Price updated 41 a minute ago,ec42d0463ee0cd310bf4072c621d6288,None
81,5.7x28 mm R37.F,244,244,120,Price updated 1 an hour ago,12d9a258b001c655a142d4d0eb5fe4e0,None
82,5.7x28 mm R37.X,249,249,104,Price updated 2 hours ago,9709bbf60b42b62d99ae7d35b5a8d318,None
83,5.7x28 mm SB193,1996,1996,80,Price updated an hour ago,4c3f2c4d143802becdbe68f42a16fb84,None
84,5.7x28 mm SS190,2400,2400,59,Price updated 33 minutes ago,c072b65633e3e09b8f3680b3742eaa9a,None
85,5.7x28 mm SS197SR,500,500,62,Price updated 2 hours ago,6100e2d53ca50d822417ba625f1f568d,None
86,5.7x28 mm SS198LF,800,800,75,Price updated 2 hours ago,1e8505625ab04d6b48110dea5b9b7f3f,None
87,7.62x25mm TT AKBS,200,200,27,Price updated 6 months ago,13ce21de965cc1f056b82d7e01045c72,None
88,7.62x25mm TT FMJ43,55,55,28,Price updated 5 days ago,34fce1e55c4272b686f31afcf261ff1d,None
89,7.62x25mm TT LRN,120,120,27,Price updated 5 hours ago,de5466b8638d5f37fc31517647b64828,None
90,7.62x25mm TT LRNPC,120,120,38,Price updated one month ago,3714f1d91e962564603c5c375553d917,None
91,7.62x25mm TT P gl,250,250,29,None,edb002e2334693bc918e80745c53e9c6,None
92,7.62x25mm TT PT gzh,45,45,35,Price updated 8 months ago,361e50b501716e8cc74158faadf0a155,None
93,7.62x25mm TT Pst gzh,50,50,39,Price updated 8 months ago,71a23013bf6c7238552c4aa4fbcc75a4,None
94,7.62x39 mm BP,850,850,167,Price updated an hour ago,691d748c573756a360afb440fd0d1049,None
95,7.62x39 mm HP,299,299,34,Price updated an hour ago,691d748c573756a360afb440fd0d1049,None
96,7.62x39 mm PS,68,68,46,Price updated 30 minutes ago,1393550d9ee4ebe28ab3cd551e404175,None
97,7.62x39 mm T45M,47,47,32,Price updated 2 days ago,1393550d9ee4ebe28ab3cd551e404175,None
98,7.62x39 mm US,160,160,75,Price updated 2 hours ago,7044e98c287cae5a02762a01a7e0e69d,None
99,7.62x51 mm BPZ FMJ,74,74,84,Price updated 1 an hour ago,7044e98c287cae5a02762a01a7e0e69d,None
100,7.62x51 mm M61,0,0,0,None,1c09f7352b2b6b33ee0f55aed187c25e,None
101,7.62x51 mm M62,0,0,0,None,fc262e531d89bbaad8d2745663cd04f1,None
102,7.62x51 mm M80,0,0,0,None,f632d69d613b0286642a1ec3274314ac,None
103,7.62x51 mm M993,0,0,0,None,bd961dd84358352ef727229f71eeefdf,None
104,7.62x51 mm TPZ SP,0,0,0,None,d19bae76f85c1b6894a68505af901d08,None
105,7.62x51 mm Ultra Nosler,0,0,0,None,b8749d121b4942b2d06b8381b0aa1809,None
106,7.62x54R 7BT1,0,0,0,None,16b755eaf22c80682fab47e6bbc31ab2,None
107,7.62x54R 7N1 Sniper cartridge,0,0,0,None,d71f39ef6f90d68cd67a717d8758d715,None
108,7.62x54R 7N37,0,0,0,None,1b011e1ffe3b445a4b720ed8290dbcd2,None
109,7.62x54R LPS Gzh,0,0,0,None,6756db92fa35ea4204778894d7d13493,None
110,7.62x54R SNB,0,0,0,None,bb99d24bca9c97361eab7d5b30019a2b,None
111,7.62x54R T-46M,0,0,0,None,62183fdc26ac6511fcc974ef2f6b3e2a,None
112,9x18 mm PM 9 BZT gzh,0,0,0,None,75e4fde1f24d2ab86409742bc74c1aee,None
113,9x18 mm PM 9 P gzh,0,0,0,None,51e75616f28bc4b6e2d39d198a5666ec,None
114,9x18 mm PM PBM,0,0,0,None,01b0bb1294ce20976aecff925ca8d47a,None
115,9x18 mm PM PMM,0,0,0,None,1cd92d9a589cfafe194d2c3e57618cd1,None
116,9x18 mm PM PPT gzh,0,0,0,None,7d962dd33d01c40d5b29f28b34bc1af7,None
117,9x18 mm PM PPe gzh,0,0,0,None,fdffeba48d2cdf55251d44f6c7833371,None
118,9x18 mm PM PRS gs,0,0,0,None,d490e891fe4f41a2ef00a82d0457ea98,None
119,9x18 mm PM PS gs PPO,0,0,0,None,bdd5520f401c8b330a30071fef2c7f12,None
120,9x18 mm PM PSO gzh,0,0,0,None,3d92bfa56a9a09518eb9ee3135a0c0c3,None
121,9x18 mm PM PSV,0,0,0,None,d74f86c466b1d801a95bd9054463185a,None
122,9x18 mm PM Pst gzh,0,0,0,None,35d87f00320c097806b115171d1124b9,None
123,9x18 mm PM SP7 gzh,0,0,0,None,cfe3bbb13bd5705184523dcae732731c,None
124,9x18 mm PM SP8 gzh,0,0,0,None,9c66b43055f0a1e055958068233cb781,None
125,9x18mm PM RG028 gzh,0,0,0,None,6f1db00bf1c6c8aff5cda16874961798,None
126,9x19 mm 7N31,0,0,0,None,dda1e96be3da5e509d1cd70045656921,None
127,9x19 mm AP 6.3,0,0,0,None,6c04aceef321390f9744d59471911716,None
128,9x19 mm Green Tracer,0,0,0,None,6d1c9273134efa128975d8eddc283a3f,None
129,9x19 mm Luger CCI,0,0,0,None,9ee557851482e6d181a6871248ce9f1a,None
130,9x19 mm PSO gzh,0,0,0,None,cea96f78df36157953b7ccd24f7a0322,None
131,9x19 mm Pst gzh,0,0,0,None,5409151064e40dabf05e8b1c113e0b17,None
132,9x19 mm QuakeMaker,0,0,0,None,d1fb280f88147d2e327ca555b878d16a,None
133,9x19 mm RIP,0,0,0,None,fbdc918470df24af2948a75c8df33af0,None
134,9x21 mm SP10,0,0,0,None,7dae33fbe8e9908ca991ec6c6561cdc2,None
135,9x21 mm SP11,0,0,0,None,0743e5fb49977812d066d29c328463e6,None
136,9x21 mm SP12,0,0,0,None,6e86b8269a99a4313d76ec0009e8fe87,None
137,9x21 mm SP13,0,0,0,None,24d7daae404e083970b7edf39565f6a2,None
138,9x39 mm 7N12 BP,0,0,0,None,d0aae8787f0070c8dede5aa8bb56c31d,None
139,9x39 mm 7N9 SPP,0,0,0,None,ae197d1876a4e4c4d5fdfe6966afde95,None
140,9x39 mm SP-5,0,0,0,None,63088caed3990075086594727488ba7c,None
141,9x39 mm SP-6,0,0,0,None,219cb75960d77707303fcc836349aa59,None
142,9x21 Serdyukov automatic pistol SR1MP Gyurza,18999,9499,10804,Price updated 3 hours ago,f464c143a651b2e0f4909c3ecfff46d6,None
143,ADAR 2-15 .223 Carbine,18888,18888,3528,Price updated 12 minutes ago,89b72854a64cd1947280855c230d2803,None
144,AGS 30x29 mm automatic grenade launcher,0,0,0,None,No hash,None
145,AK-101 5.56x45 assault rifle,30000,3000,19971,Price updated 2 hours ago,88f7722ba2218756bb058253daa4a3e7,None
146,AK-102 5.56x45 assault rifle,69998,8749,28923,Price updated 2 hours ago,b7516006b5fdf57dcc6d914446defe0e,None
147,AK-103 7.62x39 assault rifle,40000,4000,19214,Price updated 2 hours ago,21318708bbf1ce89d5b8718d81263981,None
148,AK-104 7.62x39 assault rifle,28555,3569,22351,Price updated 2 hours ago,21318708bbf1ce89d5b8718d81263981,None
149,AK-105 5.45x39 assault rifle,22222,2777,17283,Price updated 2 hours ago,21318708bbf1ce89d5b8718d81263981,None
150,AK-74 5.45x39 assault rifle,18000,1800,12180,Price updated 3 hours ago,abc9b75786789247b302dbd69376cf1a,None
151,AK-74M 5.45x39 assault rifle,26000,2600,14661,Price updated 35 minutes ago,a090060b2a66bed14b7b5a26a3036f79,None
152,AK-74N 5.45x39 assault rifle,24000,2400,12962,Price updated 13 minutes ago,635aa48fdec12fc4a9a36d136ae6308f,None
153,AKM 7.62x39 assault rifle,40900,4090,16527,Price updated 34 minutes ago,e172def90c637b57749c6044543c39f7,None
154,AKMN 7.62x39 assault rifle,48299,4829,19042,Price updated 2 hours ago,395d730093e5d1e0b4d5f3e8b2e6c43c,None
155,AKMS 7.62x39 assault rifle,25000,6250,15608,Price updated 2 hours ago,559052172d7bd5d5582a30046899a8dc,None
156,AKMSN 7.62x39 assault rifle,25555,2555,16224,Price updated 3 hours ago,dc698e3712f4c17da705e1d7f6deaa5b,None
157,AKS-74 5.45x39 assault rifle,17000,1700,13250,Price updated 3 hours ago,46515dc408631f9647982d82b0dc8564,None
158,AKS-74N 5.45x39 assault rifle,34999,3499,14274,Price updated 3 hours ago,a8846fa74f6db15b1dac8733de204feb,None
159,AS VAL,59000,5900,32562,Price updated 5 hours ago,2b1d59acde9f47e82cfbab97ec8ca67e,None
160,ASh-12 12.7x55 assault rifle,58000,7250,52528,Price updated 1 an hour ago,142323fd309615ece266823fafa42526,None
161,B&T MP9 9x19 submachinegun,25999,12999,8001,Price updated 2 hours ago,3acd912e8b4c03d9fc0e9168fa859ccf,None
162,B&T MP9-N 9x19 Submachinegun,18000,9000,10360,Price updated 2 hours ago,cd1918eb467d9a75c8addcb9217ac3e7,None
163,Beretta M9A3 9x19 pistol,13000,6500,2688,Price updated 2 hours ago,7364d920289981ee869dfa7492eed456,None
164,Colt M1911A1 .45 ACP pistol,9999,4999,3028,Price updated an hour ago,0540f22a13b3fc3bf899d12cd022c2b0,None
165,Colt M45A1 .45 ACP pistol,13000,6500,4148,Price updated 4 hours ago,e43de8ee5dd7a6162c478bc9a60c7a14,None
166,Colt M4A1 5.56x45 Assault Rifle,33420,33420,10302,Price updated 4 hours ago,68b91bb59a7eebd8b660dedfd4aae76e,None
167,DS Arms SA-58 7.62x51,40000,20000,21332,Price updated 3 hours ago,559c978815186f76d2352592b11abe37,None
168,DT MDR 5.56x45 Assault Rifle,50000,12500,18609,Price updated 3 hours ago,853b484c9cfec5655dd8c48e956ef6a2,None
169,DT MDR 7.62x51 Assault Rifle,98000,49000,29809,Price updated 2 hours ago,600450c674cbd76b7131d46ab3bf3459,None
170,DVL-10 Saboteur sniper rifle,66333,6633,25784,Price updated 2 hours ago,a1c8c28607daee44d728a216ee0626a6,None
171,FN Five-seveN MK2 5.7x28 pistol,34000,17000,7973,Price updated 2 hours ago,8fc2b0d361680464b41687956fae4934,None
172,FN Five-seveN MK2 FDE Frame 5.7x28 pistol,32000,16000,7973,Price updated 2 hours ago,227dda6fa830a1c0395a3926c330640c,None
173,FN GL40 Mk.2 grenade launcher,284000,47333,61600,Price updated an hour ago,81017a217a68681c9bae41937b0b7996,None
174,FN P90 5.7x28 submachinegun,50000,8333,25312,Price updated 2 hours ago,c30ca874f84b3f37f505b40603229d55,None
175,GLOCK 17 9x19 pistol,15599,7799,3700,Price updated 2 hours ago,2c80aa5f62b191f593e8239f60f66389,None
176,GLOCK 18C 9x19 pistol,21500,10750,8526,Price updated 2 hours ago,c83eaf600b28365daab8b518747e13b1,None
177,HK 416A5 5.56x45 Assault Rifle,47000,4700,12208,Price updated 2 hours ago,13908ced84f47204e0b35af4cb55a461,None
178,HK MP5 9x19 submachinegun (Navy 3 Round Burst),25000,3125,6794,Price updated 2 hours ago,566fd2c950986ea790ced7c59f08076b,None
179,HK MP5 Kurz 9x19 submachinegun,14500,7250,5320,Price updated 2 hours ago,7d65b10866d7575196c2e55409da2aec,None
180,HK MP7A1 4.6x30 submachinegun,43999,21999,24801,Price updated 2 hours ago,b2619425b0fb7bee6ae158efa7bb5a29,None
181,HK MP7A2 4.6x30 submachinegun,50000,25000,25329,Price updated 2 hours ago,674600fa8205a5c5f58025e655dd5fd8,None
182,HK UMP 45 submachinegun,36000,9000,14840,Price updated an hour ago,6e0d9d503f9af77e72adf798db95846f,None
183,Kalashnikov AKS-74U 5.45x39,14999,1874,7640,Price updated 2 hours ago,914aca0a422cc0ce58abba9bfd6bbcf5,None
184,Kalashnikov AKS-74UB 5.45x39,20990,2099,12178,Price updated 2 hours ago,bd50c50f3bf9f162c24e5ebe5537abe6,None
185,Kalashnikov AKS-74UN 5.45x39,25000,3125,10833,Price updated 2 hours ago,fb71b138689de63f171ed40a9a0a2985,None
186,Kel-Tec RFB 7.62x51,40000,10000,14339,Price updated 1 an hour ago,f90cc573dfa45b3b1559feafa620f7a9,None
187,Knight's Armament Company SR-25 7.62x51,61000,6100,13779,Price updated 2 hours ago,08feafd89493544374481e64852844de,None
188,Lone Star TX-15 DML Rifle,22000,22000,13662,Price updated 4 hours ago,662586f6586df1542d865eb996fe7d39,None
189,MP-133 12ga shotgun,22890,4578,8088,Price updated 2 hours ago,e417853e096f87e9d7101b03cd875abd,None
190,MP-153 12ga semi-automatic shotgun,29000,4142,8389,Price updated 1 an hour ago,41eb0a511b04a1bdf385fb43e963348f,None
191,Mk-18 .338 LM marksman rifle,180000,90000,23299,Price updated an hour ago,2c8eaedaea08946af778c7af4253739a,None
192,Molot VPO-215 .366 TKM rifle,14999,2999,4410,Price updated 1 an hour ago,6e316b56d9340731b3b09bb2d68c7fdf,None
193,Mosin bolt-action infantry rifle,41000,6833,6900,Price updated 2 hours ago,22b05007a6b0d2d58421433fe33087d3,None
194,Mosin bolt-action sniper rifle,46666,7777,9346,Price updated 2 hours ago,0ad3aa79791d6f59efbc791131927d77,None
195,Mossberg 590A1 12ga shotgun,26000,5200,8065,Price updated 4 hours ago,283bf5e84acd5f84b1af26393d90812f,None
196,"NSV ""Utes"" 12.7x108 machine gun",0,0,0,None,No hash,None
197,Orsis T-5000 .308 sniper rifle,48000,4800,16184,Price updated 2 hours ago,86bd2aadba7b8b4c9e8d6c2a209891d9,None
198,P226R 9x19 pistol,10750,5375,3493,Price updated 2 hours ago,0fe37908af5f4f74c29d54a22e65d3e3,None
199,PB 9x18PM silenced pistol,10999,5499,6439,Price updated 2 hours ago,29c5a3e55fbf2b54cb326c6dc85272d3,None
200,PM (t) 9x18PM pistol,5555,2777,4770,Price updated 2 hours ago,556984bd5ff3c59a86608209a23a7862,None
201,PM 9x18PM pistol,3900,1950,2854,Price updated 2 hours ago,556984bd5ff3c59a86608209a23a7862,None
202,PP-9 Klin 9x18PMM SMG,14000,3500,13698,Price updated 2 hours ago,b489449beb7d1c803fd1772def048665,None
203,PP-91 Kedr 9x18PM SMG,14000,3500,10554,Price updated 2 hours ago,376e0aeff4235ec028cedb454cf21859,None
204,PP-91-01 Kedr-B 9x18PM SMG,31000,7750,11333,Price updated 2 hours ago,c337bba411b161343f90ab3f8dabde9c,None
205,RPK-16 5.45x39 light machine gun,46888,4688,12522,Price updated 2 hours ago,b4e4b471828549b5ee94cf68dffd5fcd,None
206,Remington Model 700 Sniper rifle,30500,6100,10500,Price updated 1 an hour ago,66192d8cf61630884bc306d848388346,None
207,Remington Model 870 12ga shotgun,24500,4900,8065,Price updated 2 hours ago,035e117cb1628fc2736f33eb87135b68,None
208,Remington R11 RSASS 7.62x51,599999,59999,23299,Price updated an hour ago,90ce72ffad8ddf17b0ee27fdb900cec6,None
209,SIG MCX .300 AAC Blackout Assault Rifle,70999,70999,11928,Price updated 1 an hour ago,9102b55a803b48c308da1bce5f09d6bf,None
210,SIG MPX 9x19 Submachine gun,39000,4875,10588,Price updated 2 hours ago,cbda1235a4c1ab31bf84b3373f0ef013,None
211,SV-98 bolt-action sniper rifle,35555,7111,14993,Price updated 2 hours ago,e4197a8014ec999f7d40d8f1139194cb,None
212,SVDS 7.62x54 Sniper rifle,94000,9400,24419,Price updated 2 hours ago,8855c0c69988e9ff44ee08fd92e946e5,None
213,Saiga 12ga ver. 10 12/76 shotgun,20999,2624,9250,Price updated 2 hours ago,d2d46081b2df1ec1dd18824053633fc2,None
214,Saiga-9 9x19 Carbine,10000,1666,5570,Price updated 4 hours ago,f5750ea972a6dfef9e0f494221e077dd,None
215,Silenced Stechkin Automatic Pistol 9x18PM,20000,10000,6513,Price updated 2 hours ago,9b3dfe6284213ce2c4034b0b9b7528bb,None
216,Simonov Semi-Automatic Carbine SKS 7.62x39,31000,6200,10825,Price updated 3 hours ago,96564b5caf883125d10858528643168b,None
217,"Simonov Semi-Automatic Carbine SKS 7.62x39 Hunting Rifle
Version",0,0,0,None,350c88572d1b419eec1436cba78eef4d,None
218,Special Sniper Rifle VSS Vintorez,50000,5000,30428,Price updated an hour ago,2e859d1028dcd709f0f6e9bdfcd696f8,None
219,Springfield Armory M1A 7.62x51,55000,6875,16948,Price updated 2 hours ago,7c679ebfb4b22f45068ecbd7d709631a,None
220,Stechkin Automatic Pistol 9x18PM,9000,4500,6496,Price updated 2 hours ago,24fd2564a338c6f131915db501b26772,None
221,Submachinegun PP-19-01 Vityaz-SN 9x19,21999,3666,8261,Price updated 2 hours ago,dfc9bb4d0df235230a25c75b4be15272,None
222,Submachinegun PPSH-41 7.62x25,14444,1805,5741,Price updated 2 hours ago,f118af3a7fbc43f6fefe17fcce683482,None
223,TDI KRISS Vector Gen.2 .45 ACP submachinegun,86299,21574,17724,Price updated 24 minutes ago,f150937f297187f582ee4ea6c11870a4,None
224,TDI Kriss Vector Gen.2 9x19 submachinegun,100000,25000,15568,Price updated 13 minutes ago,a5e3eaf8c9556dd244efb15271852c29,None
225,TOZ KS-23M 23x75mm shotgun,94999,15833,10305,Price updated 4 hours ago,42cc1ac0d2eedd30d5e05e0bd02d6800,None
226,TOZ-106 bolt-action shotgun,7100,2366,1975,Price updated 3 days ago,3f7b00b023ce128eb8688d8dba46bcdd,None
227,TT pistol 7.62x25 TT,5500,2750,2346,Price updated 3 hours ago,5c62977cc9799eb8fb36212d297d4581,None
228,TT pistol 7.62x25 TT Gold,26000,13000,12984,Price updated 2 hours ago,5d18b4c752a48bfc3a919c72f570b5b0,None
229,Vepr AKM / VPO-209 366TKM carbine,18899,1889,12088,Price updated 44 minutes ago,88e4c270596114eff760b07ce23c7930,None
230,Vepr Hunter/VPO-101 7.62x51 carbine,29000,5800,21828,Price updated 4 hours ago,621a0025a65708fd632b02b186876c71,None
231,Vepr KM / VPO-136 7.62x39 carbine,13333,1333,10628,Price updated 14 minutes ago,235e992f0a599a09779e30a677539507,None
232,Yarygin MP-443 Grach 9x19 pistol,8888,4444,5845,Price updated 5 hours ago,b81f31563762bbbf0d19ebfb3f31a95f,None
233,"""Big Stick"" 9x19 magazine for Glock 9x19",19000,9500,1655,Price updated 3 hours ago,94b3215ea26bb5e0e30e7d60fe00bea2,None
234,10 rnds. SKS internal box magazine 7.62x39,9000,9000,896,Price updated 3 days ago,7a18bd2cd17c1bdc4438234da07910de,None
235,10-round .308 AICS M700 magazine,14500,7250,2184,Price updated 3 hours ago,676495de3f6646ed0eeab811bb67316b,None
236,10-round .308 DVL-10 magazine,5998,5998,2516,Price updated 5 days ago,f3bdbc97e6f1f8976b7fb8095b8a00b5,None
237,10-round .308 M700 magazine,13999,6999,1960,Price updated 3 hours ago,5c8c41364b21aa2eec65d02cafe4953e,None
